repyr,reg_status,appr_trade_code,appr_trade_name,comp_vol,gender,total_reg,mean_age,sd_age,total_NA,total_cont,total_comp,total_disc,mean_reg_dur,mean_date_reg
2011,Already registered (beginning of report period),200G,Precision Metal Fabricator,Voluntary,Female,7,42.0019569471624,6.4728153359371,0,6,0,1,9.01643835616438,20021227
2011,Already registered (beginning of report period),200G,Precision Metal Fabricator,Voluntary,Male,140,39.4522700587084,9.51863967363613,0,128,7,5,9.94197651663405,20020123
2011,Already registered (beginning of report period),207S,Light Rail Overhead Contact Systems Lineperson,Voluntary,Male,10,35.013698630137,5.41485515656986,0,9,1,0,3.40547945205479,20080805
2011,Already registered (beginning of report period),211W,Wooden Boat Rebuilder/Repairer,Voluntary,Male,6,28.327397260274,3.18205266857547,0,6,0,0,6.25616438356164,20050929
2011,Already registered (beginning of report period),219C,Saddlery,Voluntary,Male,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),225A,Optics Technician (Lens and Prism Maker),Voluntary,Female,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),225A,Optics Technician (Lens and Prism Maker),Voluntary,Male,10,26.8301369863014,3.8775246955823,0,9,1,0,2.71397260273973,20090414
2011,Already registered (beginning of report period),225F,Thin Film Technician,Voluntary,Female,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),229B,Drywall Acoustic And Lathing Applicator,Voluntary,Male,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),237S,Pool and Hot Tub/Spa Service Technician,Voluntary,Female,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),237S,Pool and Hot Tub/Spa Service Technician,Voluntary,Male,62,34.4159080866107,8.98779580994718,0,60,1,1,5.95373398144057,20060117
2011,Already registered (beginning of report period),237T,Pool/Hot Tub and Spa Installer,Voluntary,Male,40,33.7016438356164,8.64141739230169,0,40,0,0,4.96787671232877,20070112
2011,Already registered (beginning of report period),239B,Tool and Gauge Inspector,Voluntary,Male,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),240P,Parts Technician,Voluntary,Female,49,34.3827229521946,11.2792256719302,0,45,3,1,4.44719038300252,20070721
